tile,night,petal,n_targets,time
10256,20211110,0,453,1.6973600387573242
10256,20211110,1,401,49.94365429878235
10256,20211110,2,445,46.457165002822876
10256,20211110,3,404,50.41846203804016
10256,20211110,4,402,48.77383780479431
10256,20211110,5,425,46.4037299156189
10256,20211110,6,436,45.969926834106445
10256,20211110,7,378,47.60621881484985
10256,20211110,8,431,45.273969888687134
10256,20211110,9,421,47.13757920265198
2436,20211031,0,453,44.60294222831726
2436,20211031,1,402,45.16967797279358
2436,20211031,2,446,47.96515369415283
2436,20211031,3,401,51.443002223968506
2436,20211031,4,420,47.122990131378174
2436,20211031,5,424,47.71212077140808
2436,20211031,6,437,48.24846696853638
2436,20211031,7,377,48.76450204849243
2436,20211031,8,443,49.52676701545715
5568,20211130,0,452,56.08949089050293
5568,20211130,1,408,1.6121459007263184
5568,20211130,2,445,49.386605978012085
5568,20211130,3,400,49.4174370765686
5568,20211130,4,404,46.395174980163574
5568,20211130,5,423,47.38776779174805
5568,20211130,6,436,48.64711618423462
5568,20211130,7,380,54.34383201599121
5568,20211130,8,430,47.91513705253601
5568,20211130,9,442,44.91803002357483
